customer_id,age,gender,city_population,household_size,education_level,annual_income,employment_status,tenure_months,main_account_type,num_standard_accounts,num_savings_accounts,num_student_accounts,num_business_accounts,num_of_accounts,number_of_debit_cards,number_of_credit_cards,number_of_loans,total_loan_amount,current_balance,days_from_last_transaction,avg_monthly_balance_3m,avg_monthly_balance_12m,avg_monthly_spend_3m,avg_monthly_spend_12m,transaction_count_3m,transaction_count_12m,transaction_volume_3m,transaction_volume_12m,declined_transactions_3m,declined_transactions_12m,loan_payments_12m,loan_payments_3m,mobile_app_logins_3m,support_contacts_3m,complaints_3m,mobile_app_logins_12m,support_contacts_12m,complaints_12m,last_support_contact_days,received_satisfaction_survey,filled_satisfaction_survey,nps_segment,days_from_last_app_login,online_banking_logins_3m,days_from_last_web_login,days_from_last_login,online_banking_logins_12m,avg_time_spent_per_login_minutes_3m,avg_time_spent_per_login_minutes_12m,push_clicks_3m,push_clicks_12m,marketing_emails_opened_3m,marketing_emails_opened_12m,churn
682296072cc2439485b282185cfa9eba,35,female,172402,3,unknown,15917,employed,68,standard,3,2,0,0,5,2,1,0,4918,10000000000000,62,10000000000000,10000000000000,10000000000000,10000000000000,6,21,10000000000000,10000000000000,0,0,10000000000000,0,3,2,0,34,0,0,107,True,True,promoter,3,2,1,1,25,4,3,2,10,5,13,False
9b4cab6e4e3c4153bbe2cc71c485c1d8,42,male,159407,2,secondary_education,35387,other,35,standard,3,2,0,0,5,1,0,0,5745,10000000000000,15,10000000000000,10000000000000,10000000000000,10000000000000,7,28,10000000000000,10000000000000,0,0,10000000000000,10000000000000,1,0,0,30,3,0,284,False,False,passive,0,3,0,0,17,2,2,2,5,0,18,False
bd39b985e7f7408bb7f556def89064d5,50,female,57975,2,secondary_education,23082,self-employed,10,standard,1,3,0,0,4,3,0,0,0,10000000000000,12,10000000000000,10000000000000,10000000000000,10000000000000,4,22,10000000000000,10000000000000,0,0,1,10000000000000,3,0,0,23,3,0,39,False,False,passive,0,3,0,0,22,6,3,3,7,1,16,False
773516813b1d4b55b24e0233437020cf,44,female,279380,6,bachelor,45392,employed,19,savings,3,2,0,0,5,1,1,0,20502,10000000000000,22,10000000000000,10000000000000,10000000000000,10000000000000,3,13,10000000000000,10000000000000,0,2,10000000000000,10000000000000,1,1,0,30,7,0,66,True,True,promoter,0,3,2,0,23,4,4,0,2,2,18,False
cbad5352194a4217a5dbc1bc8285740f,40,male,218961,2,unknown,27652,unemployed,29,savings,0,1,0,0,1,0,0,2,16996,10000000000000,67,10000000000000,10000000000000,10000000000000,10000000000000,12,22,10000000000000,10000000000000,0,0,10000000000000,10000000000000,6,2,0,27,1,0,48,True,True,detractor,0,3,0,0,25,4,9,1,6,3,19,True
e4ae0104ea004d24a3b16d7e64cf55f8,49,female,101417,3,bachelor,47058,employed,24,standard,1,1,0,0,2,0,0,0,0,10000000000000,32,10000000000000,10000000000000,10000000000000,10000000000000,6,17,10000000000000,10000000000000,1,0,1,3257125512045,3,2,0,34,2,0,5,False,False,passive,0,2,0,0,28,4,7,0,2,0,16,False
2b9cd365da1b4b8b969ee73047a36421,38,male,214411,1,unknown,26836,employed,45,savings,1,3,0,0,4,1,1,0,10632,10000000000000,17,10000000000000,10000000000000,10000000000000,10000000000000,6,31,10000000000000,10000000000000,1,0,10000000000000,10000000000000,1,0,0,25,6,0,632,False,False,promoter,0,1,1,0,19,3,4,2,6,1,20,False
8b1c0f9ad471449ba0794a8531d0faca,48,male,26417,2,primary_education,33744,employed,37,business,2,0,0,2,4,3,0,0,0,10000000000000,31,10000000000000,10000000000000,10000000000000,10000000000000,6,19,10000000000000,10000000000000,0,1,1,10000000000000,2,2,0,30,0,0,40,False,False,promoter,0,2,0,0,28,8,7,1,6,4,18,False
c5d1981a55c648a5b256c5b696573479,58,male,322015,2,bachelor,37146,self-employed,15,savings,0,2,0,0,2,1,0,0,18858,10000000000000,9,10000000000000,10000000000000,10000000000000,10000000000000,4,21,10000000000000,10000000000000,1,1,10000000000000,0,3,1,0,31,1,0,69,False,False,promoter,0,2,0,0,20,3,2,3,4,2,27,False
470e45261a354498bcc69cb6877dd04c,42,female,61928,3,primary_education,18475,employed,1,standard,1,1,0,0,2,0,0,1,231,10000000000000,8,10000000000000,10000000000000,10000000000000,10000000000000,7,20,10000000000000,10000000000000,0,0,10000000000000,10000000000000,2,0,0,26,3,0,1489,False,False,detractor,0,0,1,0,30,6,7,1,5,2,17,False
