customer_id,age,gender,city_population,household_size,education_level,annual_income,employment_status,tenure_months,main_account_type,num_standard_accounts,num_savings_accounts,num_student_accounts,num_business_accounts,num_of_accounts,number_of_debit_cards,number_of_credit_cards,number_of_loans,total_loan_amount,current_balance,days_from_last_transaction,avg_monthly_balance_3m,avg_monthly_balance_12m,avg_monthly_spend_3m,avg_monthly_spend_12m,transaction_count_3m,transaction_count_12m,transaction_volume_3m,transaction_volume_12m,declined_transactions_3m,declined_transactions_12m,loan_payments_12m,loan_payments_3m,mobile_app_logins_3m,support_contacts_3m,complaints_3m,mobile_app_logins_12m,support_contacts_12m,complaints_12m,last_support_contact_days,received_satisfaction_survey,filled_satisfaction_survey,nps_segment,days_from_last_app_login,online_banking_logins_3m,days_from_last_web_login,days_from_last_login,online_banking_logins_12m,avg_time_spent_per_login_minutes_3m,avg_time_spent_per_login_minutes_12m,push_clicks_3m,push_clicks_12m,marketing_emails_opened_3m,marketing_emails_opened_12m,churn
0ddef00236bc4dbe8dafb2f2205f2de0,54,male,260772,2,bachelor,40451,employed,0,business,0,0,0,4,4,4,1,0,214,768,0,885,859,1284,5259,3,18,512,5937,1,0,0,0,1,2,0,36,1,0,9,False,False,promoter,0,2,0,0,26,3,7,1,8,1,23,False
3d7b776d28d74a8ca5d62b2d709759cb,45,female,224491,1,secondary_education,29517,other,3,student,0,0,0,0,0,1,0,0,0,385,50,246,149,449,2162,2,20,445,5469,0,1,0,0,3,2,0,17,1,0,8,False,False,passive,2,1,4,2,26,3,0,0,7,1,32,False
6e51420695d34641b42b04e2d5e9db2b,18,female,500,1,master,60995,student,15,standard,4,0,0,0,4,1,1,0,7779,858,20,771,1034,4080,4354,1,20,500,7510,0,0,1372,0,2,1,0,33,0,0,35,True,False,passive,1,3,0,0,15,7,8,0,8,0,18,False
7fceb33efeae4008a62860b11060e7a5,40,female,147961,3,secondary_education,23086,unemployed,17,standard,0,0,0,0,0,1,0,0,10764,1995,14,948,1164,442,1909,6,20,1413,7627,0,1,0,0,1,1,0,26,1,0,14,False,False,detractor,0,2,3,0,40,3,2,1,7,0,21,False
2ed3aef13bd84e8a80497eaaef6d2003,27,female,197537,4,bachelor,67014,employed,24,business,3,0,0,1,4,4,0,0,0,661,3,671,936,2353,4872,4,22,578,5763,0,0,0,0,4,3,0,26,2,0,19,False,False,passive,0,4,0,0,23,2,11,0,10,1,22,False
84179c548b3f479f8ec8476198aaa043,54,male,271253,3,secondary_education,27945,employed,5,standard,1,1,0,0,2,5,0,0,0,679,42,942,960,521,1975,7,12,2066,6591,0,0,0,0,2,2,0,30,3,0,32,False,False,promoter,0,1,0,0,25,7,8,0,4,0,17,False
faa3703a095945cda49d3193d03caf59,22,female,356170,3,secondary_education,26101,employed,21,student,0,0,1,0,1,1,0,0,0,1231,27,1172,804,394,2147,8,25,1038,7780,0,0,0,0,2,0,0,37,3,0,805,False,False,promoter,2,2,0,0,18,3,1,0,6,3,25,False
effd32d5df6c4a08ab44f96cb6d891c3,22,male,276947,2,bachelor,30718,unemployed,53,student,0,0,2,0,2,3,0,0,0,1062,0,858,869,1501,4525,9,22,1601,8600,0,1,0,0,4,1,0,31,2,0,77,False,False,passive,2,0,1,1,28,3,5,1,4,0,17,False
527128867109426783d4a70dc9b6c717,23,female,157761,2,bachelor,47982,employed,13,standard,2,1,0,0,3,2,0,0,0,1512,50,852,662,1668,5590,9,15,1015,9493,0,1,0,0,5,1,0,44,1,0,30,True,False,promoter,1,0,0,0,28,5,1,0,7,1,29,False
1c0c40eb8cd44d6283124ef047defcbe,70,female,189457,1,secondary_education,25861,employed,2,standard,1,1,0,0,2,1,0,0,0,979,0,1211,1127,582,1915,6,14,1144,6098,1,0,0,0,6,2,0,28,3,0,38,True,False,promoter,0,5,0,0,24,2,9,0,3,1,23,False
